row_id,playerID,year,position,age,avg_salary_year,free_agent_salary,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,ERA,BAOpp,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR,won_cy_young,won_mvp,won_gold_glove,won_silver_slugger,all_star
pennybr01_2010,pennybr01,2010,P,32,3278746.825301205,3000000.0,20.0,22.0,58.0,56.0,1.0,0.0,0.0,366.0,180.0,39.0,102.0,195.0,1.0,8.0,11.0,1.0,1409.0,1.0,195.0,12.0,12.0,35.0,4.425,0.27525,971.0,21.0,41.0,2.0,3.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
peraljo01_2010,peraljo01,2010,P,34,3278746.825301205,925000.0,2.0,5.0,106.0,0.0,0.0,0.0,0.0,113.0,63.0,23.0,35.0,109.0,6.0,1.0,6.0,0.0,526.0,28.0,66.0,3.0,5.0,8.0,4.733333333333333,0.24100000000000002,379.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
raych01_2010,raych01,2010,P,28,3278746.825301205,1000000.0,5.0,4.0,109.0,0.0,0.0,0.0,2.0,112.0,58.0,13.0,48.0,70.0,9.0,1.0,1.0,0.0,448.0,25.0,59.0,9.0,4.0,7.0,4.9366666666666665,0.2776666666666667,297.0,4.0,20.0,2.0,3.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
riverma01_2010,riverma01,2010,P,41,3278746.825301205,14925862.5,12.0,11.0,191.0,0.0,0.0,0.0,116.0,128.0,36.0,13.0,29.0,194.0,4.0,2.0,8.0,0.0,746.0,170.0,39.0,1.0,2.0,9.0,1.6533333333333333,0.18166666666666664,591.0,10.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,,0,0,0,0,1
romerjc01_2010,romerjc01,2010,P,34,3278746.825301205,1350000.0,5.0,4.0,162.0,0.0,0.0,0.0,4.0,84.0,38.0,10.0,80.0,92.0,12.0,2.0,12.0,2.0,499.0,33.0,41.0,6.0,0.0,10.0,3.0433333333333334,0.21433333333333335,337.0,13.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
saitota01_2010,saitota01,2010,P,40,3278746.825301205,1750000.0,9.0,10.0,157.0,0.0,0.0,0.0,21.0,131.0,45.0,11.0,58.0,181.0,7.0,4.0,7.0,0.0,658.0,79.0,50.0,3.0,6.0,8.0,2.5833333333333335,0.22433333333333336,470.0,8.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
sherrge01_2010,sherrge01,2010,P,33,3278746.825301205,1200000.0,6.0,8.0,194.0,0.0,0.0,0.0,52.0,146.0,68.0,14.0,81.0,144.0,14.0,3.0,4.0,0.0,701.0,100.0,69.0,7.0,6.0,8.0,3.6175000000000006,0.239,476.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,1
takahhi01_2010,takahhi01,2010,P,35,3278746.825301205,4000000.0,10.0,6.0,53.0,12.0,0.0,0.0,8.0,116.0,49.0,13.0,43.0,114.0,7.0,1.0,0.0,1.0,516.0,21.0,51.0,10.0,3.0,7.0,3.61,0.252,366.0,5.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
tallebr01_2010,tallebr01,2010,P,33,3278746.825301205,750000.0,10.0,17.0,122.0,30.0,0.0,0.0,0.0,305.0,168.0,44.0,132.0,220.0,8.0,3.0,11.0,0.0,1313.0,23.0,178.0,3.0,14.0,20.0,4.866666666666666,0.26133333333333336,883.0,16.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
vazquja01_2010,vazquja01,2010,P,34,3278746.825301205,7000000.0,37.0,36.0,96.0,91.0,4.0,0.0,0.0,550.0,271.0,77.0,170.0,559.0,8.0,16.0,17.0,0.0,2447.0,4.0,284.0,18.0,13.0,33.0,4.286666666666666,0.24766666666666667,1755.0,42.0,81.0,0.0,5.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
